Ecological.Group,Wt.Best_S1,Wt.Low_S1,Wt.High_S1,Wt.Best_S2,Wt.Low_S2,Wt.High_S2,Wt.Best_S3,Wt.Low_S3,Wt.High_S3,Wt.Best_S4,Wt.Low_S4,Wt.High_S4,Wt.Best_S5,Wt.Low_S5,Wt.High_S5,Wt.Best_S6,Wt.Low_S6,Wt.High_S6,Wt.Best_S7,Wt.Low_S7,Wt.High_S7,Wt.Best_S8,Wt.Low_S8,Wt.High_S8,Wt.Best_S9,Wt.Low_S9,Wt.High_S9,Wt.Best_S10,Wt.Low_S10,Wt.High_S10,Wt.Best_S11,Wt.Low_S11,Wt.High_S11,Wt.Best_S12,Wt.Low_S12,Wt.High_S12,Wt.Best_S13,Wt.Low_S13,Wt.High_S13,Wt.Best_S14,Wt.Low_S14,Wt.High_S14,Wt.Best_S15,Wt.Low_S15,Wt.High_S15,Wt.Best_S16,Wt.Low_S16,Wt.High_S16,Wt.Best_S17,Wt.Low_S17,Wt.High_S17
Grassland species,19,15,17,8.2,8.3,6.2,8.7,9.8,7.2,3,4,2.5,22.2,23.7,20.7,19,17.5,17,11.5,10.5,11,0,2.5,-1,4,7,2.5,30.6,30.6,28.1,23.6,20.6,20.6,33.7,34.8,30.2,26.7,25.8,24.2,34.5,34.5,30.8,33.7,34.3,31.2,33.7,29.8,29.7,35.2,32.8,31.2
Burrow and den species,14.2,13.7,10.8,2.5,6,1.5,2.2,4.7,0.30000000000000004,-0.3,1.7,0.30000000000000004,20,18.5,19.5,19.84375,17.109375,19.21875,17.5,16.7,16.5,11,13,9.5,12.153846153846155,11.938461538461539,10.000000000000002,28,26.5,26,16.5,17,14.5,29.9,28,27,21.4,21,20.5,31,29.5,29.5,29.9,27.9,27.9,30.2,27.9,28.8,31.3,27.8,28.9
Sand dune species,12.75,5,9.375,2.125,1.875,1.25,6.5,2.5,4.375,0,0,0,13.375,10.625,12.5,15.25,11.25,15,4,2.5,3.125,3.75,3.125,3.75,6.25,6.875,4.375,17.375,16.5,17.125,15.25,10,13.125,20.5,15.875,18.375,19,13.75,16.875,21.75,15.25,20.25,21.75,15.25,19.625,22.625,18,19.25,23.25,18,19.875
Wetland and shorebird species,10.063291139240507,7.025316455696203,7.594936708860759,2.4683544303797467,2.9746835443037978,2.5316455696202533,2.0253164556962027,0,1.0126582278481013,9.759493670886076,7.734177215189874,9.924050632911392,12.734177215189874,13.683544303797468,10.265822784810126,13.101265822784809,12.531645569620254,9.620253164556962,4.253164556962026,5.265822784810127,4.7594936708860756,5.265822784810127,6.2784810126582284,4.860759493670886,3.5443037974683547,4.050632911392405,1.5189873417721518,16.17721518987342,18.240506329113924,14.822784810126583,14.113924050632912,6.518987341772152,9.620253164556962,17.088607594936708,19.050632911392405,15.126582278481013,16.645569620253163,15.569620253164558,14.177215189873417,17.696202531645568,18.645569620253166,15.835443037974684,19.050632911392405,20.50632911392405,16.341772151898734,23.405063291139243,18.27848101265823,18.974683544303797,24.620253164556964,20,19.88607594936709
Amphibians,12.777777777777779,8.88888888888889,9.444444444444445,6.666666666666667,5.777777777777778,7,1.1111111111111112,0,1.6666666666666667,15.799999999999999,12.799999999999999,12,18.88888888888889,18.555555555555557,16.88888888888889,15,13.88888888888889,13.88888888888889,7.222222222222222,8,7.555555555555555,6.111111111111112,5,6.666666666666666,2.7777777777777777,3.333333333333333,1.6666666666666665,21.444444444444443,21.11111111111111,17.77777777777778,14.444444444444445,10.555555555555555,10.555555555555555,24.22222222222222,24.444444444444443,21.333333333333332,21.333333333333332,19.11111111111111,18.555555555555557,23.88888888888889,22.77777777777778,20.77777777777778,25.333333333333332,23.88888888888889,22.22222222222222,23.666666666666664,22.77777777777778,20.77777777777778,25,24.444444444444443,22.77777777777778
Fish species,6.428571428571428,5,4.999999999999999,0,0,0,0,0,0,10.714285714285714,11.428571428571427,10.714285714285714,9.285714285714285,10.714285714285714,11.428571428571427,7.142857142857142,7.142857142857142,7.142857142857142,3.571428571428571,5.7142857142857135,2.1428571428571423,2.8571428571428568,3.571428571428571,2.1428571428571423,0.7142857142857142,2.142857142857143,0,11.428571428571427,12.857142857142856,12.857142857142856,4.999999999999999,5.7142857142857135,4.999999999999999,11.428571428571427,14.285714285714285,10.714285714285714,10.714285714285714,11.428571428571427,9.999999999999998,12.142857142857142,14.999999999999998,11.428571428571427,15,17.857142857142854,12.857142857142856,15.714285714285714,17.142857142857142,15.714285714285714,17.142857142857142,17.857142857142854,17.142857142857142
Healthy prairie landscape,22.22222222222222,13.88888888888889,21.11111111111111,6.888888888888889,6.888888888888888,5.333333333333333,8.88888888888889,6.111111111111112,7.777777777777779,10,7.222222222222221,8.333333333333334,27.777777777777775,20.555555555555554,28.333333333333332,23.88888888888889,16.666666666666668,24.444444444444443,13.555555555555555,10.777777777777779,13.666666666666666,3.444444444444444,3.444444444444444,3.4444444444444446,1.8888888888888888,1.8888888888888888,2.555555555555556,33.888888888888886,25,33.333333333333336,24.77777777777778,16.666666666666664,23.88888888888889,33.888888888888886,26.666666666666668,33.88888888888889,27.777777777777775,20.555555555555557,27.77777777777778,33.44444444444444,25.555555555555557,33.333333333333336,34.44444444444444,25.555555555555557,33.55555555555556,34.11111111111111,26.11111111111111,33.888888888888886,37.22222222222222,29.444444444444443,36.666666666666664
