Ecological.Group,Wt.Best_S1,Wt.Low_S1,Wt.High_S1,Wt.Best_S2,Wt.Low_S2,Wt.High_S2,Wt.Best_S3,Wt.Low_S3,Wt.High_S3,Wt.Best_S4,Wt.Low_S4,Wt.High_S4,Wt.Best_S5,Wt.Low_S5,Wt.High_S5,Wt.Best_S6,Wt.Low_S6,Wt.High_S6,Wt.Best_S7,Wt.Low_S7,Wt.High_S7,Wt.Best_S8,Wt.Low_S8,Wt.High_S8,Wt.Best_S9,Wt.Low_S9,Wt.High_S9,Wt.Best_S10,Wt.Low_S10,Wt.High_S10,Wt.Best_S11,Wt.Low_S11,Wt.High_S11,Wt.Best_S12,Wt.Low_S12,Wt.High_S12,Wt.Best_S13,Wt.Low_S13,Wt.High_S13,Wt.Best_S14,Wt.Low_S14,Wt.High_S14,Wt.Best_S15,Wt.Low_S15,Wt.High_S15,Wt.Best_S16,Wt.Low_S16,Wt.High_S16,Wt.Best_S17,Wt.Low_S17,Wt.High_S17
Grassland species,494,390,442,213.2,215.8,161.20000000000002,226.2,254.8,187.20000000000002,78,104,65,577.1999999999999,616.1999999999999,538.1999999999999,494,455,442,299,273,286,0,65,-26,104,182,65,795.6,795.6,730.6,613.6,535.6,535.6,876.2,904.8,785.1999999999999,694.1999999999999,670.8000000000001,629.1999999999999,897,897,800.8000000000001,876.2,891.8,811.1999999999999,876.2,774.8000000000001,772.1999999999999,915.2,852.8,811.1999999999999
Burrow and den species,99.39999999999999,95.89999999999999,75.60000000000001,17.5,42,10.5,15.400000000000002,32.9,2.1000000000000005,-2.1,11.9,2.1000000000000005,140,129.5,136.5,138.90625,119.765625,134.53125,122.5,116.89999999999999,115.5,77,91,66.5,85.07692307692308,83.56923076923077,70.00000000000001,196,185.5,182,115.5,119,101.5,209.29999999999998,196,189,149.79999999999998,147,143.5,217,206.5,206.5,209.29999999999998,195.29999999999998,195.29999999999998,211.4,195.29999999999998,201.6,219.1,194.6,202.29999999999998
Sand dune species,153,60,112.5,25.5,22.5,15,78,30,52.5,0,0,0,160.5,127.5,150,183,135,180,48,30,37.5,45,37.5,45,75,82.5,52.5,208.5,198,205.5,183,120,157.5,246,190.5,220.5,228,165,202.5,261,183,243,261,183,235.5,271.5,216,231,279,216,238.5
Wetland and shorebird species,80.50632911392405,56.20253164556962,60.75949367088607,19.746835443037973,23.797468354430382,20.253164556962027,16.20253164556962,0,8.10126582278481,78.07594936708861,61.87341772151899,79.39240506329114,101.87341772151899,109.46835443037975,82.12658227848101,104.81012658227847,100.25316455696203,76.9620253164557,34.025316455696206,42.12658227848102,38.075949367088604,42.12658227848102,50.22784810126583,38.88607594936709,28.354430379746837,32.40506329113924,12.151898734177214,129.41772151898735,145.9240506329114,118.58227848101266,112.9113924050633,52.151898734177216,76.9620253164557,136.70886075949366,152.40506329113924,121.0126582278481,133.1645569620253,124.55696202531647,113.41772151898734,141.56962025316454,149.16455696202533,126.68354430379748,152.40506329113924,164.0506329113924,130.73417721518987,187.24050632911394,146.22784810126583,151.79746835443038,196.9620253164557,160,159.08860759493672
Amphibians,38.333333333333336,26.666666666666668,28.333333333333336,20,17.333333333333332,21,3.3333333333333335,0,5,47.4,38.4,36,56.66666666666667,55.66666666666667,50.66666666666667,45,41.66666666666667,41.66666666666667,21.666666666666668,24,22.666666666666664,18.333333333333336,15,20,8.333333333333332,10,5,64.33333333333333,63.33333333333333,53.333333333333336,43.333333333333336,31.666666666666664,31.666666666666664,72.66666666666666,73.33333333333333,64,64,57.33333333333333,55.66666666666667,71.66666666666667,68.33333333333334,62.333333333333336,76,71.66666666666667,66.66666666666666,71,68.33333333333334,62.333333333333336,75,73.33333333333333,68.33333333333334
Fish species,12.857142857142856,10,9.999999999999998,0,0,0,0,0,0,21.428571428571427,22.857142857142854,21.428571428571427,18.57142857142857,21.428571428571427,22.857142857142854,14.285714285714285,14.285714285714285,14.285714285714285,7.142857142857142,11.428571428571427,4.285714285714285,5.7142857142857135,7.142857142857142,4.285714285714285,1.4285714285714284,4.285714285714286,0,22.857142857142854,25.71428571428571,25.71428571428571,9.999999999999998,11.428571428571427,9.999999999999998,22.857142857142854,28.57142857142857,21.428571428571427,21.428571428571427,22.857142857142854,19.999999999999996,24.285714285714285,29.999999999999996,22.857142857142854,30,35.71428571428571,25.71428571428571,31.428571428571427,34.285714285714285,31.428571428571427,34.285714285714285,35.71428571428571,34.285714285714285
Healthy prairie landscape,22.22222222222222,13.88888888888889,21.11111111111111,6.888888888888889,6.888888888888888,5.333333333333333,8.88888888888889,6.111111111111112,7.777777777777779,10,7.222222222222221,8.333333333333334,27.777777777777775,20.555555555555554,28.333333333333332,23.88888888888889,16.666666666666668,24.444444444444443,13.555555555555555,10.777777777777779,13.666666666666666,3.444444444444444,3.444444444444444,3.4444444444444446,1.8888888888888888,1.8888888888888888,2.555555555555556,33.888888888888886,25,33.333333333333336,24.77777777777778,16.666666666666664,23.88888888888889,33.888888888888886,26.666666666666668,33.88888888888889,27.777777777777775,20.555555555555557,27.77777777777778,33.44444444444444,25.555555555555557,33.333333333333336,34.44444444444444,25.555555555555557,33.55555555555556,34.11111111111111,26.11111111111111,33.888888888888886,37.22222222222222,29.444444444444443,36.666666666666664
