Ecological.Group,Wt.Best_Baseline,Wt.Low_Baseline,Wt.High_Baseline,Wt.Best_S1,Wt.Low_S1,Wt.High_S1,Wt.Best_S2,Wt.Low_S2,Wt.High_S2,Wt.Best_S3,Wt.Low_S3,Wt.High_S3,Wt.Best_S4,Wt.Low_S4,Wt.High_S4,Wt.Best_S5,Wt.Low_S5,Wt.High_S5,Wt.Best_S6,Wt.Low_S6,Wt.High_S6,Wt.Best_S7,Wt.Low_S7,Wt.High_S7,Wt.Best_S8,Wt.Low_S8,Wt.High_S8,Wt.Best_S9,Wt.Low_S9,Wt.High_S9,Wt.Best_S10,Wt.Low_S10,Wt.High_S10,Wt.Best_S11,Wt.Low_S11,Wt.High_S11,Wt.Best_S12,Wt.Low_S12,Wt.High_S12,Wt.Best_S13,Wt.Low_S13,Wt.High_S13,Wt.Best_S14,Wt.Low_S14,Wt.High_S14,Wt.Best_S15,Wt.Low_S15,Wt.High_S15,Wt.Best_S16,Wt.Low_S16,Wt.High_S16,Wt.Best_S17,Wt.Low_S17,Wt.High_S17
Grassland species,45.5,29.5,57,57.66,39.1,67.88,49.682,33.733000000000004,60.162,51.938,36.752,62.328,47.18,31.740000000000002,58.4,58.376,43.245999999999995,69.006,55,38.25,65.5,53.32,36.64,64.48,45.5,31.575,56.17,49.26,36.08,59.35,62.024,46.024,72.174,61.784,43.714,71.214,64.709,49.336,74.214,60.185,43.69,70.31,67.58,51.58,76.712,64.372,48.708,74.47200000000001,66.057,47.678,75.117,68.732,51.147999999999996,77.592
Burrow and den species,45.5,29.5,56,54.588,38.268,62.912,46.775,32.56,56.765,47.128,32.978,56.222,45.332,30.452,56.168,57.1,40.23,67.31,55.421875,38.0546875,65.609375,57.4,40.856,67.22,54.629999999999995,40.29,63.885,56.924615384615386,40.722153846153844,65.4,60.620000000000005,43.81,70.04,56.885,41.23,66.005,62.543,45.46,71.39,57.269999999999996,41.05,67.275,65.34,48.379999999999995,74.88,62.244,45.124,71.624,63.922,46.519,73.568,66.158,47.848,75.074
Sand dune species,52.875,41.25,65.625,61.035,44.45,71.625,53.95875,42.20625,66.2625,57.685,43.1,68.8625,52.875,41.25,65.625,60.6325,47.4125,72.875,60.5,46.875,73.125,55.595,42.95,67.75,55.9875,43.84375,68.7375,58.75,47.7125,69.7375,62.2575,50.16,74.8725,63.3975,48.15,74.68125,64.56,50.29875,76.09875,63.325,48.8125,74.90625,66.795,51.01,78.58500000000001,65.055,49.79,76.615,66.67625,52.230000000000004,77.3675,68.22,53.13,78.7425
Wetland and shorebird species,51.20253164556962,38.734177215189874,63.67088607594936,57.643037974683544,43.230379746835446,68.53164556962025,52.46139240506329,40.25126582278481,64.9620253164557,52.70126582278481,38.734177215189874,64.42025316455695,56.667848101265825,43.065316455696205,69.22835443037974,58.588354430379745,46.6706329113924,69.62506329113924,57.75316455696203,45,68.48101265822784,54.0946835443038,42.31493670886076,66.9073417721519,55.57316455696203,43.9453164556962,67.70531645569619,54.53417721518987,42.54177215189873,65.09873417721518,59.93822784810127,48.58405063291139,71.67518987341772,60.94113924050633,43.232278481012656,70.30886075949367,60.94303797468354,49.59303797468354,72.29303797468354,60.357594936708864,47.29746835443038,71.46835443037975,62.528101265822784,50.6673417721519,73.80556962025315,61.87088607594937,50.21772151898735,72.82227848101266,65.47962025316455,49.884050632911396,75.24544303797468,67.45189873417722,51.93417721518988,76.79569620253164
Amphibians,50.55555555555556,38.333333333333336,62.22222222222222,58.733333333333334,44.022222222222226,68.26666666666667,53.955555555555556,41.28,65.79222222222222,51.37777777777778,38.333333333333336,63.455555555555556,59.403555555555556,45.501333333333335,68.94222222222223,61.51111111111111,49.095555555555556,72.01777777777778,58.05555555555556,45.27777777777778,69.16666666666667,55.46666666666667,43.77333333333333,67.36,55.62777777777778,42.483333333333334,67.75555555555556,53.16666666666667,41.46666666666667,63.788888888888884,62.135555555555555,49.733333333333334,71.82222222222222,60.522222222222226,45.61666666666667,69.50555555555556,64.36222222222221,52.266666666666666,74.38222222222223,62.28888888888889,48.84444444444445,72.42777777777778,65.84444444444445,52.91111111111111,75.52,64.74222222222222,51.711111111111116,74.66666666666667,64.99222222222222,52.22777777777778,74.89666666666666,67.05555555555556,54.46666666666667,77.25555555555556
Fish species,54.99999999999999,43.57142857142857,65,59.11428571428571,46.77142857142857,68.2,54.99999999999999,43.57142857142857,65,54.99999999999999,43.57142857142857,65,60.99999999999999,49.97142857142857,71,60.38571428571428,49.785714285714285,71.62857142857143,58.57142857142856,47.14285714285714,68.57142857142857,57.42857142857142,47.457142857142856,66.45714285714286,57.37142857142857,46.535714285714285,66.77857142857142,55.671428571428564,45.58571428571428,65,61.171428571428564,50.51428571428571,71.94285714285715,58.44999999999999,47.51428571428571,68.45,61.514285714285705,51.71428571428571,71.10714285714286,60.89285714285714,49.857142857142854,70.5,62.771428571428565,53.17142857142857,72.31428571428572,63.39999999999999,53.57142857142857,72.2,64.58571428571427,54.028571428571425,74.58571428571429,66.3142857142857,55.357142857142854,76.31428571428572
Healthy prairie landscape,40,31.11111111111111,49.44444444444444,54.22222222222222,40,62.955555555555556,43.513333333333335,34.62444444444444,52.16444444444444,46.577777777777776,35.63333333333333,55.2,45.6,35.15555555555555,54.111111111111114,56.11111111111111,43.03333333333333,65.87777777777777,51.94444444444444,39.44444444444444,61.666666666666664,49.217777777777776,38.440000000000005,58.73777777777778,42.85888888888889,33.97,52.303333333333335,41.775555555555556,32.88666666666666,51.846666666666664,58.3,44.611111111111114,67.44444444444444,57.096666666666664,42.61111111111111,65.92777777777778,59.31666666666666,46.31111111111111,68.7611111111111,55.27777777777778,42.41666666666667,64.72222222222223,61.404444444444444,47.46666666666667,70.77777777777777,59.28888888888889,45.422222222222224,68.23555555555555,60.80777777777777,47.03888888888889,70.11666666666666,64.56666666666666,50.544444444444444,73.64444444444445
