Ecological.Group,Wt.Best_Baseline,Wt.Low_Baseline,Wt.High_Baseline
Grassland species,45.5,29.5,57
Burrow and den species,45.5,29.5,56
Sand dune species,52.875,41.25,65.625
Wetland and shorebird species,51.20253164556962,38.734177215189874,63.67088607594936
Amphibians,50.55555555555556,38.333333333333336,62.22222222222222
Fish species,54.99999999999999,43.57142857142857,65
Healthy prairie landscape,40,31.11111111111111,49.44444444444444
