"Ecological.Group","Wt.Best_Baseline","Wt.Low_Baseline","Wt.High_Baseline","Wt.Best_S1","Wt.Low_S1","Wt.High_S1","Wt.Best_S2","Wt.Low_S2","Wt.High_S2","Wt.Best_S3","Wt.Low_S3","Wt.High_S3","Wt.Best_S4","Wt.Low_S4","Wt.High_S4","Wt.Best_S5","Wt.Low_S5","Wt.High_S5","Wt.Best_S6","Wt.Low_S6","Wt.High_S6","Wt.Best_S7","Wt.Low_S7","Wt.High_S7","Wt.Best_S8","Wt.Low_S8","Wt.High_S8","Wt.Best_S9","Wt.Low_S9","Wt.High_S9","Wt.Best_S10","Wt.Low_S10","Wt.High_S10","Wt.Best_S11","Wt.Low_S11","Wt.High_S11","Wt.Best_S12","Wt.Low_S12","Wt.High_S12","Wt.Best_S13","Wt.Low_S13","Wt.High_S13","Wt.Best_S14","Wt.Low_S14","Wt.High_S14","Wt.Best_S15","Wt.Low_S15","Wt.High_S15","Wt.Best_S16","Wt.Low_S16","Wt.High_S16","Wt.Best_S17","Wt.Low_S17","Wt.High_S17"
"Grassland species",45.5,29.5,57,57.66,39.1,67.88,49.682,33.733,60.162,51.938,36.752,62.328,47.18,31.74,58.4,58.376,43.246,69.006,55,38.25,65.5,53.32,36.64,64.48,45.5,31.575,56.17,49.26,36.08,59.35,62.024,46.024,72.174,61.784,43.714,71.214,64.709,49.336,74.214,60.185,43.69,70.31,67.58,51.58,76.712,64.372,48.708,74.472,66.057,47.678,75.117,68.732,51.148,77.592
"Burrow and den species",45.5,29.5,56,54.588,38.268,62.912,46.775,32.56,56.765,47.128,32.978,56.222,45.332,30.452,56.168,57.1,40.23,67.31,55.421875,38.0546875,65.609375,57.4,40.856,67.22,54.63,40.29,63.885,56.9246153846154,40.7221538461538,65.4,60.62,43.81,70.04,56.885,41.23,66.005,62.543,45.46,71.39,57.27,41.05,67.275,65.34,48.38,74.88,62.244,45.124,71.624,63.922,46.519,73.568,66.158,47.848,75.074
"Sand dune species",52.875,41.25,65.625,61.035,44.45,71.625,53.95875,42.20625,66.2625,57.685,43.1,68.8625,52.875,41.25,65.625,60.6325,47.4125,72.875,60.5,46.875,73.125,55.595,42.95,67.75,55.9875,43.84375,68.7375,58.75,47.7125,69.7375,62.2575,50.16,74.8725,63.3975,48.15,74.68125,64.56,50.29875,76.09875,63.325,48.8125,74.90625,66.795,51.01,78.585,65.055,49.79,76.615,66.67625,52.23,77.3675,68.22,53.13,78.7425
"Wetland and shorebird species",51.2025316455696,38.7341772151899,63.6708860759494,57.6430379746835,43.2303797468354,68.5316455696203,52.4613924050633,40.2512658227848,64.9620253164557,52.7012658227848,38.7341772151899,64.420253164557,56.6678481012658,43.0653164556962,69.2283544303797,58.5883544303797,46.6706329113924,69.6250632911392,57.753164556962,45,68.4810126582278,54.0946835443038,42.3149367088608,66.9073417721519,55.573164556962,43.9453164556962,67.7053164556962,54.5341772151899,42.5417721518987,65.0987341772152,59.9382278481013,48.5840506329114,71.6751898734177,60.9411392405063,43.2322784810127,70.3088607594937,60.9430379746835,49.5930379746835,72.2930379746835,60.3575949367089,47.2974683544304,71.4683544303797,62.5281012658228,50.6673417721519,73.8055696202532,61.8708860759494,50.2177215189873,72.8222784810127,65.4796202531646,49.8840506329114,75.2454430379747,67.4518987341772,51.9341772151899,76.7956962025316
"Amphibians",50.5555555555556,38.3333333333333,62.2222222222222,58.7333333333333,44.0222222222222,68.2666666666667,53.9555555555556,41.28,65.7922222222222,51.3777777777778,38.3333333333333,63.4555555555556,59.4035555555556,45.5013333333333,68.9422222222222,61.5111111111111,49.0955555555556,72.0177777777778,58.0555555555556,45.2777777777778,69.1666666666667,55.4666666666667,43.7733333333333,67.36,55.6277777777778,42.4833333333333,67.7555555555556,53.1666666666667,41.4666666666667,63.7888888888889,62.1355555555556,49.7333333333333,71.8222222222222,60.5222222222222,45.6166666666667,69.5055555555556,64.3622222222222,52.2666666666667,74.3822222222222,62.2888888888889,48.8444444444444,72.4277777777778,65.8444444444444,52.9111111111111,75.52,64.7422222222222,51.7111111111111,74.6666666666667,64.9922222222222,52.2277777777778,74.8966666666667,67.0555555555556,54.4666666666667,77.2555555555556
"Fish species",55,43.5714285714286,65,59.1142857142857,46.7714285714286,68.2,55,43.5714285714286,65,55,43.5714285714286,65,61,49.9714285714286,71,60.3857142857143,49.7857142857143,71.6285714285714,58.5714285714286,47.1428571428571,68.5714285714286,57.4285714285714,47.4571428571429,66.4571428571429,57.3714285714286,46.5357142857143,66.7785714285714,55.6714285714286,45.5857142857143,65,61.1714285714286,50.5142857142857,71.9428571428572,58.45,47.5142857142857,68.45,61.5142857142857,51.7142857142857,71.1071428571429,60.8928571428571,49.8571428571429,70.5,62.7714285714286,53.1714285714286,72.3142857142857,63.4,53.5714285714286,72.2,64.5857142857143,54.0285714285714,74.5857142857143,66.3142857142857,55.3571428571429,76.3142857142857
"Healthy prairie landscape",40,31.1111111111111,49.4444444444444,54.2222222222222,40,62.9555555555556,43.5133333333333,34.6244444444444,52.1644444444444,46.5777777777778,35.6333333333333,55.2,45.6,35.1555555555556,54.1111111111111,56.1111111111111,43.0333333333333,65.8777777777778,51.9444444444444,39.4444444444444,61.6666666666667,49.2177777777778,38.44,58.7377777777778,42.8588888888889,33.97,52.3033333333333,41.7755555555556,32.8866666666667,51.8466666666667,58.3,44.6111111111111,67.4444444444444,57.0966666666667,42.6111111111111,65.9277777777778,59.3166666666667,46.3111111111111,68.7611111111111,55.2777777777778,42.4166666666667,64.7222222222222,61.4044444444444,47.4666666666667,70.7777777777778,59.2888888888889,45.4222222222222,68.2355555555555,60.8077777777778,47.0388888888889,70.1166666666667,64.5666666666667,50.5444444444444,73.6444444444444
