Ecological.Group,Wt.Best_Baseline,Wt.Low_Baseline,Wt.High_Baseline,Wt.Best_S1,Wt.Low_S1,Wt.High_S1,Wt.Best_S2,Wt.Low_S2,Wt.High_S2,Wt.Best_S3,Wt.Low_S3,Wt.High_S3,Wt.Best_S4,Wt.Low_S4,Wt.High_S4,Wt.Best_S5,Wt.Low_S5,Wt.High_S5,Wt.Best_S6,Wt.Low_S6,Wt.High_S6,Wt.Best_S7,Wt.Low_S7,Wt.High_S7,Wt.Best_S8,Wt.Low_S8,Wt.High_S8,Wt.Best_S9,Wt.Low_S9,Wt.High_S9,Wt.Best_S10,Wt.Low_S10,Wt.High_S10,Wt.Best_S11,Wt.Low_S11,Wt.High_S11,Wt.Best_S12,Wt.Low_S12,Wt.High_S12,Wt.Best_S13,Wt.Low_S13,Wt.High_S13,Wt.Best_S14,Wt.Low_S14,Wt.High_S14,Wt.Best_S15,Wt.Low_S15,Wt.High_S15,Wt.Best_S16,Wt.Low_S16,Wt.High_S16,Wt.Best_S17,Wt.Low_S17,Wt.High_S17
Grassland species,45.5,29.5,57,64.5,44.5,74,53.7,37.8,63.2,54.2,39.3,64.2,48.5,33.5,59.5,67.7,53.2,77.7,64.5,47,74,57,40,68,45.5,32,56,49.5,36.5,59.5,76.1,60.1,85.1,69.1,50.1,77.6,79.2,64.3,87.2,72.2,55.3,81.2,80,64,87.8,79.2,63.8,88.2,79.2,59.3,86.7,80.7,62.3,88.2
Burrow and den species,45.5,29.5,56,59.7,43.2,66.8,48,35.5,57.5,47.7,34.2,56.3,45.2,31.2,56.3,65.5,48,75.5,65.34375,46.609375,75.21875,63,46.2,72.5,56.5,42.5,65.5,57.65384615384615,41.43846153846154,66,73.5,56,82,62,46.5,70.5,75.4,57.5,83,66.9,50.5,76.5,76.5,59,85.5,75.4,57.4,83.9,75.7,57.4,84.8,76.8,57.3,84.9
Sand dune species,52.875,41.25,65.625,65.625,46.25,75,55,43.125,66.875,59.375,43.75,70,52.875,41.25,65.625,66.25,51.875,78.125,68.125,52.5,80.625,56.875,43.75,68.75,56.625,44.375,69.375,59.125,48.125,70,70.25,57.75,82.75,68.125,51.25,78.75,73.375,57.125,84,71.875,55,82.5,74.625,56.5,85.875,74.625,56.5,85.25,75.5,59.25,84.875,76.125,59.25,85.5
Wetland and shorebird species,51.20253164556962,38.734177215189874,63.67088607594936,61.265822784810126,45.75949367088607,71.26582278481013,53.67088607594937,41.708860759493675,66.20253164556962,53.22784810126582,38.734177215189874,64.68354430379746,60.962025316455694,46.46835443037975,73.59493670886076,63.936708860759495,52.41772151898734,73.9367088607595,64.30379746835443,51.265822784810126,73.29113924050633,55.45569620253165,44,68.43037974683544,56.46835443037975,45.0126582278481,68.53164556962025,54.74683544303797,42.78481012658228,65.18987341772151,67.37974683544304,56.9746835443038,78.49367088607595,65.31645569620254,45.25316455696203,73.29113924050633,68.29113924050633,57.78481012658228,78.79746835443038,67.84810126582278,54.30379746835443,77.84810126582278,68.89873417721519,57.379746835443044,79.50632911392404,70.25316455696202,59.24050632911393,80.01265822784809,74.60759493670886,57.01265822784811,82.64556962025316,75.82278481012659,58.734177215189874,83.55696202531645
Amphibians,50.55555555555556,38.333333333333336,62.22222222222222,63.333333333333336,47.22222222222223,71.66666666666667,57.22222222222222,44.111111111111114,69.22222222222223,51.66666666666667,38.333333333333336,63.888888888888886,66.35555555555555,51.13333333333333,74.22222222222223,69.44444444444444,56.88888888888889,79.11111111111111,65.55555555555556,52.22222222222223,76.11111111111111,57.77777777777778,46.333333333333336,69.77777777777777,56.66666666666667,43.333333333333336,68.88888888888889,53.333333333333336,41.66666666666667,63.888888888888886,72,59.44444444444444,80,65,48.88888888888889,72.77777777777777,74.77777777777777,62.77777777777778,83.55555555555556,71.88888888888889,57.44444444444444,80.77777777777777,74.44444444444444,61.111111111111114,83,75.88888888888889,62.22222222222223,84.44444444444444,74.22222222222223,61.111111111111114,83,75.55555555555556,62.77777777777778,85
Fish species,54.99999999999999,43.57142857142857,65,61.42857142857142,48.57142857142857,70,54.99999999999999,43.57142857142857,65,54.99999999999999,43.57142857142857,65,65.71428571428571,55,75.71428571428571,64.28571428571428,54.285714285714285,76.42857142857143,62.14285714285714,50.71428571428571,72.14285714285714,58.57142857142856,49.285714285714285,67.14285714285714,57.85714285714285,47.14285714285714,67.14285714285714,55.71428571428571,45.714285714285715,65,66.42857142857142,56.42857142857142,77.85714285714286,59.99999999999999,49.285714285714285,70,66.42857142857142,57.857142857142854,75.71428571428571,65.71428571428571,55,75,67.14285714285714,58.57142857142857,76.42857142857143,70,61.42857142857142,77.85714285714286,70.71428571428571,60.71428571428571,80.71428571428571,72.14285714285714,61.42857142857142,82.14285714285714
Healthy prairie landscape,40,31.11111111111111,49.44444444444444,62.22222222222222,45,70.55555555555556,46.888888888888886,38,54.77777777777778,48.888888888888886,37.22222222222222,57.22222222222222,50,38.33333333333333,57.77777777777778,67.77777777777777,51.666666666666664,77.77777777777777,63.888888888888886,47.77777777777778,73.88888888888889,53.55555555555556,41.888888888888886,63.11111111111111,43.44444444444444,34.55555555555556,52.888888888888886,41.888888888888886,33,52,73.88888888888889,56.111111111111114,82.77777777777777,64.77777777777777,47.77777777777777,73.33333333333333,73.88888888888889,57.77777777777778,83.33333333333334,67.77777777777777,51.66666666666667,77.22222222222223,73.44444444444444,56.66666666666667,82.77777777777777,74.44444444444444,56.66666666666667,83,74.11111111111111,57.22222222222222,83.33333333333333,77.22222222222223,60.55555555555556,86.11111111111111
