"Ecological.Group","Wt.Best_S1","Wt.Low_S1","Wt.High_S1","Wt.Best_S2","Wt.Low_S2","Wt.High_S2","Wt.Best_S3","Wt.Low_S3","Wt.High_S3","Wt.Best_S4","Wt.Low_S4","Wt.High_S4","Wt.Best_S5","Wt.Low_S5","Wt.High_S5","Wt.Best_S6","Wt.Low_S6","Wt.High_S6","Wt.Best_S7","Wt.Low_S7","Wt.High_S7","Wt.Best_S8","Wt.Low_S8","Wt.High_S8","Wt.Best_S9","Wt.Low_S9","Wt.High_S9","Wt.Best_S10","Wt.Low_S10","Wt.High_S10","Wt.Best_S11","Wt.Low_S11","Wt.High_S11","Wt.Best_S12","Wt.Low_S12","Wt.High_S12","Wt.Best_S13","Wt.Low_S13","Wt.High_S13","Wt.Best_S14","Wt.Low_S14","Wt.High_S14","Wt.Best_S15","Wt.Low_S15","Wt.High_S15","Wt.Best_S16","Wt.Low_S16","Wt.High_S16","Wt.Best_S17","Wt.Low_S17","Wt.High_S17"
"Grassland species",12.16,9.6,10.88,4.182,4.233,3.162,6.438,7.252,5.328,1.68,2.24,1.4,12.876,13.746,12.006,9.5,8.75,8.5,7.82,7.14,7.48,0,2.075,-0.83,3.76,6.58,2.35,16.524,16.524,15.174,16.284,14.214,14.214,19.209,19.836,17.214,14.685,14.19,13.31,22.08,22.08,19.712,18.872,19.208,17.472,20.557,18.178,18.117,23.232,21.648,20.592
"Burrow and den species",9.088,8.768,6.912,1.275,3.06,0.765,1.628,3.478,0.222,-0.168,0.952,0.168,11.6,10.73,11.31,9.921875,8.5546875,9.609375,11.9,11.356,11.22,9.13,10.79,7.885,11.4246153846154,11.2221538461538,9.4,15.12,14.31,14.04,11.385,11.73,10.005,17.043,15.96,15.39,11.77,11.55,11.275,19.84,18.88,18.88,16.744,15.624,15.624,18.422,17.019,17.568,20.658,18.348,19.074
"Sand dune species",8.16,3.2,6,1.08375,0.95625,0.6375,4.81,1.85,3.2375,0,0,0,7.7575,6.1625,7.25,7.625,5.625,7.5,2.72,1.7,2.125,3.1125,2.59375,3.1125,5.875,6.4625,4.1125,9.3825,8.91,9.2475,10.5225,6.9,9.05625,11.685,9.04875,10.47375,10.45,7.5625,9.28125,13.92,9.76,12.96,12.18,8.54,10.99,13.80125,10.98,11.7425,15.345,11.88,13.1175
"Wetland and shorebird species",6.44050632911392,4.49620253164557,4.86075949367089,1.25886075949367,1.51708860759494,1.29113924050633,1.49873417721519,0,0.749367088607595,5.4653164556962,4.33113924050633,5.55746835443038,7.38582278481013,7.93645569620253,5.95417721518987,6.5506329113924,6.26582278481013,4.81012658227848,2.89215189873418,3.58075949367089,3.23645569620253,4.37063291139241,5.21113924050633,4.03443037974684,3.33164556962025,3.80759493670886,1.42784810126582,8.73569620253165,9.84987341772152,8.00430379746835,9.73860759493671,4.49810126582278,6.6379746835443,9.74050632911392,10.8588607594937,8.62215189873418,9.15506329113924,8.56329113924051,7.79746835443038,11.3255696202532,11.933164556962,10.1346835443038,10.6683544303797,11.4835443037975,9.15139240506329,14.2770886075949,11.1498734177215,11.5745569620253,16.2493670886076,13.2,13.1248101265823
"Amphibians",8.17777777777778,5.68888888888889,6.04444444444444,3.4,2.94666666666667,3.57,0.822222222222222,0,1.23333333333333,8.848,7.168,6.72,10.9555555555556,10.7622222222222,9.79555555555556,7.5,6.94444444444444,6.94444444444444,4.91111111111111,5.44,5.13777777777778,5.07222222222222,4.15,5.53333333333333,2.61111111111111,3.13333333333333,1.56666666666667,11.58,11.4,9.6,9.96666666666667,7.28333333333333,7.28333333333333,13.8066666666667,13.9333333333333,12.16,11.7333333333333,10.5111111111111,10.2055555555556,15.2888888888889,14.5777777777778,13.2977777777778,14.1866666666667,13.3777777777778,12.4444444444444,14.4366666666667,13.8944444444444,12.6744444444444,16.5,16.1333333333333,15.0333333333333
"Fish species",4.11428571428571,3.2,3.2,0,0,0,0,0,0,6,6.4,6,5.38571428571428,6.21428571428571,6.62857142857143,3.57142857142857,3.57142857142857,3.57142857142857,2.42857142857143,3.88571428571429,1.45714285714286,2.37142857142857,2.96428571428571,1.77857142857143,0.671428571428571,2.01428571428571,0,6.17142857142857,6.94285714285714,6.94285714285714,3.45,3.94285714285714,3.45,6.51428571428571,8.14285714285714,6.10714285714286,5.89285714285714,6.28571428571429,5.5,7.77142857142857,9.6,7.31428571428571,8.4,10,7.2,9.58571428571429,10.4571428571429,9.58571428571429,11.3142857142857,11.7857142857143,11.3142857142857
"Healthy prairie landscape",14.2222222222222,8.88888888888889,13.5111111111111,3.51333333333333,3.51333333333333,2.72,6.57777777777778,4.52222222222222,5.75555555555556,5.6,4.04444444444444,4.66666666666667,16.1111111111111,11.9222222222222,16.4333333333333,11.9444444444444,8.33333333333333,12.2222222222222,9.21777777777778,7.32888888888889,9.29333333333333,2.85888888888889,2.85888888888889,2.85888888888889,1.77555555555556,1.77555555555556,2.40222222222222,18.3,13.5,18,17.0966666666667,11.5,16.4833333333333,19.3166666666667,15.2,19.3166666666667,15.2777777777778,11.3055555555556,15.2777777777778,21.4044444444444,16.3555555555556,21.3333333333333,19.2888888888889,14.3111111111111,18.7911111111111,20.8077777777778,15.9277777777778,20.6722222222222,24.5666666666667,19.4333333333333,24.2
