Ecological.Group,Wt.Best_S1,Wt.Low_S1,Wt.High_S1,Wt.Best_S2,Wt.Low_S2,Wt.High_S2,Wt.Best_S3,Wt.Low_S3,Wt.High_S3,Wt.Best_S4,Wt.Low_S4,Wt.High_S4,Wt.Best_S5,Wt.Low_S5,Wt.High_S5,Wt.Best_S6,Wt.Low_S6,Wt.High_S6,Wt.Best_S7,Wt.Low_S7,Wt.High_S7,Wt.Best_S8,Wt.Low_S8,Wt.High_S8,Wt.Best_S9,Wt.Low_S9,Wt.High_S9,Wt.Best_S10,Wt.Low_S10,Wt.High_S10,Wt.Best_S11,Wt.Low_S11,Wt.High_S11,Wt.Best_S12,Wt.Low_S12,Wt.High_S12,Wt.Best_S13,Wt.Low_S13,Wt.High_S13,Wt.Best_S14,Wt.Low_S14,Wt.High_S14,Wt.Best_S15,Wt.Low_S15,Wt.High_S15,Wt.Best_S16,Wt.Low_S16,Wt.High_S16,Wt.Best_S17,Wt.Low_S17,Wt.High_S17
Grassland species,12.16,9.6,10.88,4.1819999999999995,4.2330000000000005,3.1620000000000004,6.438,7.252000000000001,5.328,1.6800000000000002,2.24,1.4000000000000001,12.876,13.745999999999999,12.005999999999998,9.5,8.75,8.5,7.82,7.140000000000001,7.48,0,2.0749999999999997,-0.83,3.76,6.58,2.3499999999999996,16.524,16.524,15.174000000000001,16.284,14.214,14.214,19.209,19.835999999999995,17.214,14.685,14.190000000000001,13.31,22.080000000000002,22.080000000000002,19.712,18.872000000000003,19.208000000000002,17.472,20.557000000000002,18.178,18.117,23.232000000000003,21.648,20.592
Burrow and den species,9.088,8.767999999999999,6.912000000000001,1.275,3.06,0.765,1.6280000000000001,3.478,0.22200000000000003,-0.168,0.9520000000000001,0.16800000000000004,11.6,10.729999999999999,11.309999999999999,9.921875,8.5546875,9.609375,11.9,11.356,11.22,9.129999999999999,10.79,7.885,11.424615384615386,11.222153846153848,9.4,15.120000000000001,14.31,14.040000000000001,11.385,11.729999999999999,10.004999999999999,17.043,15.959999999999999,15.389999999999999,11.77,11.55,11.275,19.84,18.88,18.88,16.744,15.624,15.624,18.422,17.019,17.568,20.658,18.348000000000003,19.074
Sand dune species,8.16,3.2,6,1.08375,0.95625,0.6375,4.81,1.85,3.2375,0,0,0,7.757499999999999,6.1625,7.249999999999999,7.625,5.625,7.5,2.72,1.7000000000000002,2.125,3.1125,2.59375,3.1125,5.875,6.4624999999999995,4.1125,9.3825,8.91,9.2475,10.522499999999999,6.8999999999999995,9.056249999999999,11.684999999999999,9.04875,10.473749999999999,10.450000000000001,7.562500000000001,9.28125,13.92,9.76,12.96,12.180000000000001,8.540000000000001,10.99,13.80125,10.98,11.7425,15.345,11.88,13.117500000000001
Wetland and shorebird species,6.4405063291139255,4.49620253164557,4.860759493670886,1.2588607594936707,1.5170886075949368,1.2911392405063293,1.4987341772151899,0,0.7493670886075948,5.465316455696203,4.33113924050633,5.55746835443038,7.385822784810126,7.936455696202531,5.954177215189873,6.550632911392404,6.265822784810127,4.810126582278481,2.892151898734178,3.580759493670887,3.2364556962025315,4.370632911392406,5.21113924050633,4.034430379746835,3.331645569620253,3.8075949367088606,1.4278481012658226,8.735696202531647,9.84987341772152,8.004303797468356,9.738607594936708,4.498101265822784,6.637974683544303,9.740506329113922,10.85886075949367,8.622151898734176,9.1550632911392409,8.563291139240508,7.797468354430379,11.325569620253164,11.933164556962028,10.134683544303797,10.668354430379749,11.48354430379747,9.151392405063293,14.277088607594937,11.149873417721519,11.574556962025316,16.249367088607595,13.200000000000001,13.12481012658228
Amphibians,8.177777777777779,5.688888888888889,6.044444444444444,3.4000000000000004,2.9466666666666668,3.5700000000000003,0.8222222222222223,0,1.2333333333333334,8.848,7.168000000000001,6.720000000000001,10.955555555555556,10.762222222222222,9.795555555555556,7.5,6.944444444444445,6.944444444444445,4.911111111111111,5.44,5.137777777777778,5.072222222222222,4.1499999999999995,5.533333333333332,2.6111111111111107,3.133333333333333,1.5666666666666662,11.58,11.4,9.600000000000001,9.966666666666667,7.283333333333332,7.283333333333332,13.806666666666665,13.933333333333332,12.159999999999998,11.733333333333334,10.511111111111111,10.205555555555557,15.28888888888889,14.57777777777778,13.297777777777778,14.186666666666667,13.37777777777778,12.444444444444445,14.436666666666666,13.894444444444444,12.674444444444445,16.5,16.133333333333333,15.033333333333335
Fish species,4.114285714285714,3.2,3.1999999999999993,0,0,0,0,0,0,6,6.4,6,5.385714285714284,6.2142857142857135,6.628571428571428,3.571428571428571,3.571428571428571,3.571428571428571,2.4285714285714284,3.8857142857142857,1.4571428571428569,2.371428571428571,2.964285714285714,1.778571428571428,0.6714285714285713,2.0142857142857142,0,6.171428571428572,6.942857142857143,6.942857142857143,3.4499999999999993,3.942857142857142,3.4499999999999993,6.514285714285714,8.142857142857142,6.107142857142856,5.892857142857143,6.2857142857142865,5.499999999999999,7.771428571428571,9.6,7.314285714285715,8.4,10,7.2,9.585714285714285,10.457142857142857,9.585714285714285,11.314285714285715,11.785714285714285,11.314285714285715
Healthy prairie landscape,14.222222222222221,8.88888888888889,13.511111111111111,3.5133333333333336,3.513333333333333,2.7199999999999998,6.577777777777778,4.522222222222222,5.755555555555556,5.6000000000000005,4.044444444444444,4.666666666666668,16.111111111111107,11.92222222222222,16.43333333333333,11.944444444444445,8.333333333333334,12.222222222222221,9.217777777777778,7.3288888888888915,9.293333333333333,2.8588888888888886,2.8588888888888886,2.858888888888889,1.7755555555555553,1.7755555555555553,2.4022222222222225,18.3,13.5,18.000000000000004,17.096666666666668,11.499999999999998,16.48333333333333,19.316666666666663,15.2,19.316666666666666,15.277777777777777,11.305555555555557,15.277777777777779,21.404444444444444,16.355555555555558,21.333333333333336,19.28888888888889,14.311111111111114,18.791111111111114,20.807777777777776,15.927777777777777,20.67222222222222,24.566666666666666,19.433333333333334,24.2
